select8::user	select8::url	select8::opened_count	select8::closed_count	select8::reopened_count	select8::total_actions_count
ILoGM	https://github.com/ILoGM	1	0	0	1
Ibsol	https://github.com/Ibsol	1	0	0	1
IoanS	https://github.com/IoanS	1	0	0	1
Jorzi	https://github.com/Jorzi	1	0	0	1
KimSJ	https://github.com/KimSJ	10	0	0	10
Kjuly	https://github.com/Kjuly	0	1	0	1
Komet	https://github.com/Komet	4	1	0	5
Krude	https://github.com/Krude	1	0	0	1
LarsM	https://github.com/LarsM	1	1	0	2
LeifW	https://github.com/LeifW	2	0	0	2
LkSky	https://github.com/LkSky	1	0	0	1
MArcJ	https://github.com/MArcJ	0	1	0	1
MaStr	https://github.com/MaStr	8	0	0	8
McUsr	https://github.com/McUsr	1	0	0	1
MintL	https://github.com/MintL	0	1	0	1
NTMan	https://github.com/NTMan	2	0	0	2
Najaf	https://github.com/Najaf	1	0	0	1
Oddee	https://github.com/Oddee	1	0	0	1
OlliV	https://github.com/OlliV	1	0	0	1
OtsoB	https://github.com/OtsoB	1	0	0	1
Petah	https://github.com/Petah	1	0	0	1
STRML	https://github.com/STRML	1	1	0	2
Salja	https://github.com/Salja	0	1	0	1
Sikon	https://github.com/Sikon	1	0	0	1
TOGoS	https://github.com/TOGoS	2	0	0	2
TimNZ	https://github.com/TimNZ	1	1	0	2
VVSiz	https://github.com/VVSiz	0	1	0	1
Xelio	https://github.com/Xelio	2	0	0	2
Xerax	https://github.com/Xerax	0	1	0	1
Yoric	https://github.com/Yoric	2	0	0	2
ZyX-I	https://github.com/ZyX-I	1	0	0	1
ab500	https://github.com/ab500	0	1	0	1
abcdw	https://github.com/abcdw	1	3	0	4
acdha	https://github.com/acdha	2	0	0	2
adamv	https://github.com/adamv	1	12	0	13
agnat	https://github.com/agnat	1	0	0	1
alari	https://github.com/alari	0	2	0	2
alkmy	https://github.com/alkmy	7	0	0	7
amree	https://github.com/amree	0	5	0	5
aoloe	https://github.com/aoloe	1	0	0	1
araid	https://github.com/araid	1	0	0	1
arian	https://github.com/arian	0	1	0	1
ataka	https://github.com/ataka	2	6	0	8
awnry	https://github.com/awnry	1	0	0	1
axelo	https://github.com/axelo	0	1	0	1
baslr	https://github.com/baslr	2	0	0	2
bbhat	https://github.com/bbhat	2	0	0	2
bduga	https://github.com/bduga	1	0	0	1
benwa	https://github.com/benwa	1	0	0	1
bjorn	https://github.com/bjorn	0	1	0	1
bkach	https://github.com/bkach	1	0	0	1
boldt	https://github.com/boldt	1	0	0	1
bramk	https://github.com/bramk	0	2	0	2
brion	https://github.com/brion	0	1	0	1
brson	https://github.com/brson	1	0	0	1
bumbu	https://github.com/bumbu	3	0	0	3
cakey	https://github.com/cakey	0	1	0	1
chrpr	https://github.com/chrpr	1	0	0	1
cinan	https://github.com/cinan	1	0	0	1
clonn	https://github.com/clonn	7	5	0	12
cmnyc	https://github.com/cmnyc	1	0	0	1
corsc	https://github.com/corsc	3	0	0	3
coxry	https://github.com/coxry	1	1	0	2
cr34m	https://github.com/cr34m	1	0	0	1
craue	https://github.com/craue	1	0	0	1
crohr	https://github.com/crohr	0	1	0	1
cwgem	https://github.com/cwgem	1	0	0	1
czlee	https://github.com/czlee	3	3	0	6
dacar	https://github.com/dacar	1	0	0	1
dagla	https://github.com/dagla	2	0	0	2
damat	https://github.com/damat	2	1	0	3
dapug	https://github.com/dapug	1	0	0	1
daw42	https://github.com/daw42	1	0	0	1
dcmaf	https://github.com/dcmaf	1	0	0	1
ddale	https://github.com/ddale	0	3	0	3
dethe	https://github.com/dethe	4	3	0	7
detro	https://github.com/detro	0	2	1	3
devth	https://github.com/devth	2	3	0	5
dhjgv	https://github.com/dhjgv	1	0	0	1
dlech	https://github.com/dlech	0	3	0	3
dmarx	https://github.com/dmarx	1	0	0	1
doits	https://github.com/doits	1	1	0	2
drnic	https://github.com/drnic	0	1	0	1
drott	https://github.com/drott	1	0	0	1
drsii	https://github.com/drsii	0	7	0	7
dzhus	https://github.com/dzhus	1	0	0	1
eimix	https://github.com/eimix	2	0	0	2
emmef	https://github.com/emmef	2	1	0	3
emoon	https://github.com/emoon	1	0	0	1
ermau	https://github.com/ermau	0	1	0	1
essen	https://github.com/essen	0	0	1	1
exidl	https://github.com/exidl	1	0	0	1
f3l1x	https://github.com/f3l1x	1	0	0	1
fazil	https://github.com/fazil	3	0	0	3
gaboF	https://github.com/gaboF	1	0	0	1
gaige	https://github.com/gaige	1	0	0	1
geuma	https://github.com/geuma	1	0	0	1
ghmer	https://github.com/ghmer	1	0	0	1
gilbo	https://github.com/gilbo	2	1	0	3
gmp26	https://github.com/gmp26	1	0	0	1
guykv	https://github.com/guykv	2	0	0	2
halan	https://github.com/halan	0	1	0	1
halfd	https://github.com/halfd	2	0	0	2
happz	https://github.com/happz	1	0	0	1
hashd	https://github.com/hashd	3	1	0	4
hawea	https://github.com/hawea	1	2	0	3
hbons	https://github.com/hbons	0	3	0	3
hotoo	https://github.com/hotoo	1	0	0	1
hrach	https://github.com/hrach	0	1	0	1
hudec	https://github.com/hudec	0	1	0	1
hynek	https://github.com/hynek	0	1	0	1
i0rek	https://github.com/i0rek	0	3	0	3
iddpd	https://github.com/iddpd	1	0	0	1
igorw	https://github.com/igorw	2	0	0	2
iizno	https://github.com/iizno	1	0	0	1
izx64	https://github.com/izx64	1	0	0	1
jShaf	https://github.com/jShaf	1	0	0	1
janLo	https://github.com/janLo	1	0	0	1
jarib	https://github.com/jarib	0	1	0	1
jarmo	https://github.com/jarmo	1	0	0	1
jasnn	https://github.com/jasnn	3	0	0	3
javan	https://github.com/javan	0	2	0	2
jcran	https://github.com/jcran	0	5	0	5
jdorn	https://github.com/jdorn	0	3	0	3
jeena	https://github.com/jeena	1	2	0	3
jhnns	https://github.com/jhnns	1	0	0	1
jhnvz	https://github.com/jhnvz	1	1	0	2
jhoff	https://github.com/jhoff	0	1	0	1
jinpa	https://github.com/jinpa	1	0	0	1
jkcom	https://github.com/jkcom	9	0	0	9
jochu	https://github.com/jochu	1	0	0	1
joshk	https://github.com/joshk	1	0	0	1
josip	https://github.com/josip	0	1	0	1
js850	https://github.com/js850	0	1	0	1
jwilk	https://github.com/jwilk	1	0	0	1
k0ral	https://github.com/k0ral	0	1	0	1
k4n30	https://github.com/k4n30	3	0	0	3
kadaj	https://github.com/kadaj	1	0	0	1
kaixi	https://github.com/kaixi	1	0	0	1
kamov	https://github.com/kamov	1	0	0	1
kejek	https://github.com/kejek	1	0	0	1
kenrw	https://github.com/kenrw	1	0	0	1
kewah	https://github.com/kewah	1	0	0	1
kid10	https://github.com/kid10	0	1	0	1
kjdav	https://github.com/kjdav	1	0	0	1
krojo	https://github.com/krojo	1	0	0	1
kurko	https://github.com/kurko	1	0	0	1
l0ner	https://github.com/l0ner	1	0	0	1
llbit	https://github.com/llbit	2	4	0	6
loopj	https://github.com/loopj	0	1	0	1
lxcid	https://github.com/lxcid	0	1	0	1
lxsdr	https://github.com/lxsdr	2	0	0	2
macik	https://github.com/macik	2	0	0	2
magee	https://github.com/magee	1	0	0	1
