aggregate_count_action::date	aggregate_count_action::opened_count	aggregate_count_action::closed_count	aggregate_count_action::reopened_count
2013-10-01	8912	8060	274
2013-10-02	9189	5109	263
2013-10-03	7920	4892	244
2013-10-04	7692	4909	277
2013-10-05	4369	3061	150
2013-10-06	4940	3341	152
2013-10-07	8818	5696	272
2013-10-08	8685	5567	341
2013-10-09	8918	5207	295
2013-10-10	8733	9945	306
2013-10-11	7851	11258	255
2013-10-12	4517	3065	158
2013-10-13	4982	3663	135
2013-10-14	8287	5555	277
2013-10-15	8607	5567	310
2013-10-16	9619	6285	389
2013-10-17	12299	8336	350
2013-10-18	8041	5381	305
2013-10-19	4954	3594	155
2013-10-20	6312	4258	175
2013-10-21	8967	5583	350
2013-10-22	9716	5656	304
2013-10-23	10846	6615	335
2013-10-24	8560	11012	259
2013-10-25	7771	5413	269
2013-10-26	5404	3616	154
2013-10-27	6268	3905	187
2013-10-28	9735	5909	303
2013-10-29	9655	5945	351
2013-10-30	13266	9347	325
2013-10-31	10500	6587	271
2013-11-01	9603	5743	218
2013-11-02	6273	3978	149
2013-11-03	6070	3995	236
2013-11-04	9816	6585	316
2013-11-05	11858	7427	366
2013-11-06	11219	7029	325
2013-11-07	9761	6101	369
2013-11-08	8625	5111	272
2013-11-09	6574	4569	168
2013-11-10	11491	8185	221
2013-11-11	10717	7053	300
2013-11-12	9686	12815	351
2013-11-13	10743	7924	321
2013-11-14	11137	5455	324
2013-11-15	8153	5057	331
2013-11-16	5774	3702	154
2013-11-17	8228	5012	185
2013-11-18	11759	6938	344
2013-11-19	19970	12781	343
2013-11-20	12158	6884	348
2013-11-21	11697	6802	375
2013-11-22	11679	5412	305
2013-11-23	5254	3424	150
2013-11-24	6561	4448	180
2013-11-25	11974	7774	309
2013-11-26	12772	8655	317
2013-11-27	11291	6836	353
2013-11-28	7869	4849	249
2013-11-29	6846	4829	230
2013-11-30	5168	3527	146
2013-12-01	6171	4085	183
2013-12-02	9771	6118	334
2013-12-03	10554	6338	320
2013-12-04	10557	6367	320
2013-12-05	11182	6597	385
2013-12-06	9909	6858	328
2013-12-07	6075	4249	205
