aggregate_count_action::repo_id	aggregate_count_action::repo_name	aggregate_count_action::repo_url	aggregate_count_action::opened_count	aggregate_count_action::closed_count	aggregate_count_action::reopened_count	aggregate_count_action::total_actions_count
675835	scipy-lecture-notes	https://github.com/scipy-lectures/scipy-lecture-notes	1	1	0	2
677781	mongodb-odm	https://github.com/doctrine/mongodb-odm	1	0	0	1
680122	snap-core	https://github.com/snapframework/snap-core	1	0	0	1
682082	Midje	https://github.com/marick/Midje	0	1	0	1
687504	Git-Source-Control-Provider	https://github.com/yysun/Git-Source-Control-Provider	1	0	0	1
687620	husk-scheme	https://github.com/justinethier/husk-scheme	1	0	0	1
688157	jQuery-Autocomplete	https://github.com/devbridge/jQuery-Autocomplete	2	1	0	3
691683	node-cookiejar	https://github.com/bmeck/node-cookiejar	1	0	0	1
692270	tdiary-core	https://github.com/tdiary/tdiary-core	0	1	0	1
692528	mezzanine	https://github.com/stephenmcd/mezzanine	1	0	0	1
698041	async	https://github.com/caolan/async	0	1	0	1
699072	teeworlds	https://github.com/teeworlds/teeworlds	1	0	0	1
702550	zf2	https://github.com/zendframework/zf2	1	0	0	1
704337	pubnub-api	https://github.com/pubnub/pubnub-api	1	0	0	1
708684	cedar	https://github.com/pivotal/cedar	0	1	0	1
711976	node-github	https://github.com/mikedeboer/node-github	1	0	0	1
715082	ReactiveUI	https://github.com/reactiveui/ReactiveUI	1	0	0	1
715547	highcharts.com	https://github.com/highslide-software/highcharts.com	1	0	0	1
718309	Kiwi	https://github.com/allending/Kiwi	0	1	0	1
718963	multi_json	https://github.com/intridea/multi_json	2	1	0	3
723523	raty	https://github.com/wbotelhos/raty	0	1	0	1
723884	mdbtools	https://github.com/brianb/mdbtools	1	0	0	1
724712	rust	https://github.com/mozilla/rust	9	0	0	9
726541	ruboto	https://github.com/ruboto/ruboto	1	0	0	1
726981	stashboard	https://github.com/twilio/stashboard	2	0	0	2
727219	seltzer	https://github.com/elplatt/seltzer	3	0	0	3
728994	file-uploader	https://github.com/valums/file-uploader	2	2	0	4
729453	simple-graphite	https://github.com/imeyer/simple-graphite	0	1	1	2
732593	hue	https://github.com/cloudera/hue	0	1	0	1
734131	limb	https://github.com/limb-php-framework/limb	1	0	0	1
735386	dmix	https://github.com/abarisain/dmix	1	1	0	2
741653	express-coffee	https://github.com/twilson63/express-coffee	0	2	0	2
742421	jasmine-maven-plugin	https://github.com/searls/jasmine-maven-plugin	0	4	0	4
745577	espeak	https://github.com/rhdunn/espeak	0	3	0	3
745749	testng	https://github.com/cbeust/testng	2	0	0	2
747707	javax-usb-libusb1	https://github.com/trygvis/javax-usb-libusb1	1	1	0	2
749137	atmosphere	https://github.com/Atmosphere/atmosphere	1	2	0	3
750268	uvc_cam	https://github.com/ericperko/uvc_cam	0	1	0	1
755385	snap	https://github.com/snapframework/snap	1	0	0	1
755437	libstatusbar	https://github.com/phoenix3200/libstatusbar	2	1	0	3
756485	redaxo	https://github.com/redaxo/redaxo	4	4	1	9
759578	pyrocms	https://github.com/pyrocms/pyrocms	4	2	0	6
761438	baker	https://github.com/Simbul/baker	1	0	0	1
761653	phpDocumentor2	https://github.com/phpDocumentor/phpDocumentor2	11	1	0	12
763666	quicklisp-projects	https://github.com/quicklisp/quicklisp-projects	1	0	0	1
773194	vrapper	https://github.com/vrapper/vrapper	1	2	0	3
775009	dcss_henzell	https://github.com/greensnark/dcss_henzell	0	1	0	1
779996	unite.vim	https://github.com/Shougo/unite.vim	1	0	0	1
780266	node-xml2js	https://github.com/Leonidas-from-XIV/node-xml2js	1	1	0	2
780341	symphony-2	https://github.com/symphonycms/symphony-2	1	0	0	1
784744	poMMo	https://github.com/soonick/poMMo	0	1	0	1
788264	pyzmq	https://github.com/zeromq/pyzmq	2	1	0	3
791640	waterbear	https://github.com/waterbearlang/waterbear	4	3	0	7
795201	pyhwp	https://github.com/mete0r/pyhwp	1	0	0	1
796189	Go-SDL	https://github.com/0xe2-0x9a-0x9b/Go-SDL	1	1	0	2
799128	emuLib	https://github.com/vbmacher/emuLib	0	1	0	1
799359	jQTouch	https://github.com/DataZombies/jQTouch	0	1	0	1
809601	handlebars.js	https://github.com/wycats/handlebars.js	0	1	0	1
812393	grape	https://github.com/intridea/grape	0	2	0	2
813796	sass-textmate-bundle	https://github.com/nathos/sass-textmate-bundle	0	1	0	1
814715	vexflow	https://github.com/0xfe/vexflow	0	1	0	1
815741	Slides	https://github.com/nathansearles/Slides	1	0	0	1
816378	TheMovieDB.bundle	https://github.com/plexinc-agents/TheMovieDB.bundle	0	1	0	1
821644	Kobo-Reader	https://github.com/kobolabs/Kobo-Reader	1	0	0	1
824451	luakit	https://github.com/mason-larobina/luakit	1	0	0	1
826769	aJson	https://github.com/interactive-matter/aJson	0	2	0	2
835442	emacs-deferred	https://github.com/kiwanami/emacs-deferred	1	0	0	1
839336	simplecov	https://github.com/colszowka/simplecov	2	1	0	3
839439	MonkSVG	https://github.com/micahpearlman/MonkSVG	1	0	0	1
843222	scikit-learn	https://github.com/scikit-learn/scikit-learn	3	2	0	5
848924	buddypress-courseware	https://github.com/Courseware/buddypress-courseware	0	1	0	1
854400	Frank	https://github.com/somerandomdude/Frank	0	1	0	1
854624	jQuery-URL-Parser	https://github.com/allmarkedup/jQuery-URL-Parser	1	0	0	1
856193	unknown-horizons	https://github.com/unknown-horizons/unknown-horizons	2	1	0	3
856493	overtone	https://github.com/overtone/overtone	1	1	0	2
858127	pandas	https://github.com/pydata/pandas	2	12	1	15
863732	OAuth2Client	https://github.com/nxtbgthng/OAuth2Client	0	1	0	1
864806	el-get	https://github.com/dimitri/el-get	1	0	0	1
866212	categories	https://github.com/CakeDC/categories	1	0	0	1
873016	ohmagePhone	https://github.com/cens/ohmagePhone	1	0	0	1
873328	sentry	https://github.com/getsentry/sentry	0	1	0	1
874009	Tiramisu	https://github.com/kamaitama/Tiramisu	0	1	0	1
877582	Emacs-gosh-mode	https://github.com/mhayashi1120/Emacs-gosh-mode	0	1	0	1
879116	psychopy	https://github.com/psychopy/psychopy	0	1	0	1
885517	DoctrineExtensions	https://github.com/l3pp4rd/DoctrineExtensions	1	0	0	1
887840	Android-Terminal-Emulator	https://github.com/jackpal/Android-Terminal-Emulator	0	1	0	1
888427	the-blue-alliance	https://github.com/gregmarra/the-blue-alliance	1	0	0	1
890055	spree_i18n	https://github.com/spree/spree_i18n	1	0	0	1
893098	pDLNA	https://github.com/geuma/pDLNA	1	0	0	1
894709	wp2tumblr	https://github.com/jonthornton/wp2tumblr	1	0	0	1
899637	ometa-js	https://github.com/veged/ometa-js	1	0	0	1
901662	libgit2	https://github.com/libgit2/libgit2	3	2	0	5
901798	webshim	https://github.com/aFarkas/webshim	1	0	0	1
903493	habitat	https://github.com/ukhas/habitat	2	0	0	2
904102	Sutton-Open-Maps	https://github.com/adrianshort/Sutton-Open-Maps	1	0	0	1
905327	lisp-unit	https://github.com/OdonataResearchLLC/lisp-unit	1	2	0	3
907410	jquery-mobile	https://github.com/jquery/jquery-mobile	4	6	1	11
907500	mintrayr	https://github.com/nmaier/mintrayr	1	0	0	1
908607	numpy	https://github.com/numpy/numpy	1	0	0	1
909224	rcarousel	https://github.com/ryrych/rcarousel	1	0	0	1
909666	cloud9	https://github.com/ajaxorg/cloud9	1	0	0	1
914985	Silex	https://github.com/fabpot/Silex	0	1	0	1
915844	redis-doc	https://github.com/antirez/redis-doc	1	0	0	1
924303	zepto	https://github.com/madrobby/zepto	1	0	0	1
928362	SimpleJSON	https://github.com/MJPA/SimpleJSON	1	0	0	1
929315	thredded	https://github.com/jayroh/thredded	1	0	0	1
931135	Leaflet	https://github.com/Leaflet/Leaflet	1	0	0	1
932942	jsfiddle-issues	https://github.com/jsfiddle/jsfiddle-issues	0	1	0	1
940538	Markus	https://github.com/MarkUsProject/Markus	1	0	0	1
940837	ZDS_Shared	https://github.com/ZarraStudios/ZDS_Shared	1	0	0	1
942613	NEST	https://github.com/Mpdreamz/NEST	1	0	0	1
945594	GameQ	https://github.com/Austinb/GameQ	1	0	0	1
948957	node-canvas	https://github.com/LearnBoost/node-canvas	1	0	0	1
949129	FBReaderJ	https://github.com/geometer/FBReaderJ	0	1	0	1
951918	NSLogger	https://github.com/fpillet/NSLogger	1	0	0	1
952189	backbone	https://github.com/documentcloud/backbone	1	1	0	2
952523	mt-plugin-reblog	https://github.com/movabletype/mt-plugin-reblog	0	1	0	1
956732	SparkleShare	https://github.com/hbons/SparkleShare	2	3	0	5
958314	nodemon	https://github.com/remy/nodemon	1	0	0	1
959908	OpenRA	https://github.com/OpenRA/OpenRA	2	0	0	2
961086	taginfo	https://github.com/joto/taginfo	2	1	0	3
961799	jmock-library	https://github.com/jmock-developers/jmock-library	1	1	0	2
963265	ereviewboard	https://github.com/rombert/ereviewboard	0	1	0	1
968030	phonegap-plugins	https://github.com/phonegap/phonegap-plugins	1	1	0	2
976732	statistics	https://github.com/bos/statistics	1	0	0	1
981325	mineserver	https://github.com/fador/mineserver	1	0	0	1
981768	linkedin-js	https://github.com/masylum/linkedin-js	1	0	0	1
993110	pelican	https://github.com/getpelican/pelican	0	6	0	6
997620	android	https://github.com/aarddict/android	1	2	0	3
1009502	Dancer-Plugin-Browser	https://github.com/hobbestigrou/Dancer-Plugin-Browser	1	0	0	1
1011408	AndroidNotes	https://github.com/operasoftware/AndroidNotes	1	0	0	1
1012736	ZenCodingNetBeansPlugin	https://github.com/lorenzos/ZenCodingNetBeansPlugin	1	0	0	1
1017316	WebGL-Inspector	https://github.com/benvanik/WebGL-Inspector	1	0	0	1
1017756	Behave-release	https://github.com/AngryAnt/Behave-release	1	0	0	1
1019592	Cotonti	https://github.com/Cotonti/Cotonti	2	0	0	2
1020405	redmine-cli	https://github.com/diasjorge/redmine-cli	1	0	0	1
1020601	modelmapper	https://github.com/jhalterman/modelmapper	1	1	0	2
1024335	desktop	https://github.com/aarddict/desktop	1	1	0	2
1036100	PhyloSift	https://github.com/gjospin/PhyloSift	1	1	0	2
1037232	kninfra	https://github.com/karpenoktem/kninfra	2	1	1	4
1037362	osm2pgrouting	https://github.com/pgRouting/osm2pgrouting	1	0	0	1
1039256	HTTP	https://github.com/haskell/HTTP	0	1	0	1
1041356	knockout.mapping	https://github.com/SteveSanderson/knockout.mapping	1	0	0	1
1045976	py4j	https://github.com/bartdag/py4j	0	1	0	1
1049095	kivy	https://github.com/kivy/kivy	3	1	0	4
1052694	remoteStorage.js	https://github.com/RemoteStorage/remoteStorage.js	1	1	0	2
1054497	taskopen	https://github.com/ValiValpas/taskopen	3	0	0	3
1056209	reggata	https://github.com/vlkv/reggata	1	0	0	1
1056713	NServiceBus	https://github.com/NServiceBus/NServiceBus	0	2	0	2
1059594	SimpleBrowser	https://github.com/axefrog/SimpleBrowser	3	1	0	4
1062237	pygit2	https://github.com/libgit2/pygit2	0	1	0	1
1062572	Catch	https://github.com/philsquared/Catch	1	0	0	1
1064563	netty	https://github.com/netty/netty	3	3	1	7
1067525	MuraCMS	https://github.com/blueriver/MuraCMS	2	0	0	2
1073320	members	https://github.com/symphonycms/members	1	0	0	1
1075669	jitsu	https://github.com/nodejitsu/jitsu	1	0	0	1
1093060	OpenELEC.tv	https://github.com/OpenELEC/OpenELEC.tv	3	0	0	3
1093083	otclient	https://github.com/edubart/otclient	2	1	0	3
1097589	spectral-workbench	https://github.com/jywarren/spectral-workbench	2	0	0	2
1099607	brickpile	https://github.com/brickpile/brickpile	0	1	0	1
1115740	embed-github-gist	https://github.com/dflydev/embed-github-gist	1	0	0	1
1119921	prettytest	https://github.com/remogatto/prettytest	0	1	0	1
1125389	alaveteli	https://github.com/mysociety/alaveteli	2	0	0	2
1126397	Linguistic-Explorer	https://github.com/linguisticexplorer/Linguistic-Explorer	1	0	0	1
1129010	jQuery-File-Upload	https://github.com/blueimp/jQuery-File-Upload	1	0	0	1
1134253	Heimdall	https://github.com/Benjamin-Dobell/Heimdall	0	1	0	1
1139339	osm-bright	https://github.com/mapbox/osm-bright	1	0	0	1
1143164	buddycloud-server	https://github.com/buddycloud/buddycloud-server	1	1	0	2
1144359	Catalyst-Plugin-AutoCRUD	https://github.com/ollyg/Catalyst-Plugin-AutoCRUD	1	1	0	2
1145192	activerecord-postgis-adapter	https://github.com/dazuma/activerecord-postgis-adapter	1	0	0	1
1145581	django-tables2	https://github.com/bradleyayers/django-tables2	1	0	0	1
1145832	pry	https://github.com/pry/pry	0	4	0	4
1156304	mongoid_nested_set	https://github.com/thinkwell/mongoid_nested_set	0	1	0	1
1159110	rhinopython	https://github.com/mcneel/rhinopython	0	1	0	1
1170713	lingua	https://github.com/wichert/lingua	1	0	0	1
1174826	goose	https://github.com/jiminoc/goose	1	0	0	1
1176274	war	https://github.com/taoneill/war	1	0	0	1
1177157	jQRangeSlider	https://github.com/ghusse/jQRangeSlider	1	0	0	1
1180281	options-framework-theme	https://github.com/devinsays/options-framework-theme	1	1	0	2
1181927	bitcoin	https://github.com/bitcoin/bitcoin	3	2	0	5
1182663	open-electribe-editor	https://github.com/skratchdot/open-electribe-editor	1	0	0	1
1185279	OpenEmu	https://github.com/OpenEmu/OpenEmu	2	0	0	2
1185438	cabal-dev	https://github.com/creswick/cabal-dev	1	0	0	1
1186783	droidsound	https://github.com/sasq64/droidsound	1	0	0	1
1186996	yubikey-personalization	https://github.com/Yubico/yubikey-personalization	1	0	0	1
1191176	bones	https://github.com/eddiemachado/bones	1	0	0	1
1193527	FOSUserBundle	https://github.com/FriendsOfSymfony/FOSUserBundle	1	0	0	1
1201104	dynmap	https://github.com/webbukkit/dynmap	2	0	0	2
1201167	buddypress-docs	https://github.com/boonebgorges/buddypress-docs	1	0	0	1
1201315	elk	https://github.com/honzajavorek/elk	1	0	0	1
1201759	rhinocommon	https://github.com/mcneel/rhinocommon	0	1	0	1
1204214	stylus	https://github.com/LearnBoost/stylus	1	0	0	1
1204412	TrinityCore	https://github.com/TrinityCore/TrinityCore	7	8	0	15
1205958	seajs	https://github.com/seajs/seajs	0	2	0	2
1211978	isotope	https://github.com/desandro/isotope	1	0	0	1
1217614	xbmc	https://github.com/xbmc/xbmc	1	1	0	2
1229478	unrarall	https://github.com/arfoll/unrarall	0	1	0	1
1232143	firegestures	https://github.com/gomita/firegestures	1	0	0	1
1234795	compound	https://github.com/1602/compound	3	1	0	4
1235539	sc2reader	https://github.com/GraylinKim/sc2reader	5	4	0	9
1236919	silverstripe-mollom	https://github.com/silverstripe/silverstripe-mollom	1	0	0	1
1238201	DTCoreText	https://github.com/Cocoanetics/DTCoreText	0	1	0	1
1245471	musicbrainz-ruby	https://github.com/dwo/musicbrainz-ruby	1	0	0	1
1248374	jquery-mvc	https://github.com/rjgotten/jquery-mvc	1	0	0	1
1248793	grails-aws	https://github.com/grails-aws/grails-aws	1	0	0	1
1255321	psptoolchain	https://github.com/pspdev/psptoolchain	1	0	0	1
1258546	OHAttributedLabel	https://github.com/AliSoftware/OHAttributedLabel	1	0	0	1
1259664	import	https://github.com/chrismeller/import	2	1	0	3
1264747	GeoExplorer	https://github.com/opengeo/GeoExplorer	1	0	0	1
1266304	Haven-and-Hearth-client-modified-by-Ender	https://github.com/EnderWiggin/Haven-and-Hearth-client-modified-by-Ender	1	0	0	1
1267607	gevent-zeromq	https://github.com/traviscline/gevent-zeromq	1	1	0	2
1267841	AGORA	https://github.com/MichaelHoffmann/AGORA	0	24	0	24
1272424	Nodemailer	https://github.com/andris9/Nodemailer	1	0	0	1
