sort23::issue	sort23::issue_opened_at	sort23::issue_closed_at	sort23::seconds_open	sort23::repo_name	sort23::repo_id	sort23::repo_url
9868715	2013-01-10T19:18:09.000-08:00	2013-12-27T00:41:23.000-08:00	30259394	google-go-lang-idea-plugin	869754	https://github.com/mtoader/google-go-lang-idea-plugin
9737826	2013-01-07T07:54:08.000-08:00	2013-12-23T09:59:25.000-08:00	30247517	dd-agent	1210071	https://github.com/DataDog/dd-agent
9909659	2013-01-12T04:02:10.000-08:00	2013-12-28T04:14:34.000-08:00	30240744	OpenSesame	1316444	https://github.com/smathot/OpenSesame
9745847	2013-01-07T11:49:04.000-08:00	2013-12-23T10:40:41.000-08:00	30235897	MathJax	847885	https://github.com/mathjax/MathJax
10007771	2013-01-15T21:29:54.000-08:00	2013-12-31T14:41:38.000-08:00	30215504	newfol	6432899	https://github.com/bk2204/newfol
10007771	2013-01-15T21:29:54.000-08:00	2013-12-31T14:08:31.000-08:00	30213517	newfol	6432899	https://github.com/bk2204/newfol
9699510	2013-01-04T16:29:24.000-08:00	2013-12-20T03:58:40.000-08:00	30194956	Bika-LIMS	2766100	https://github.com/bikalabs/Bika-LIMS
9759879	2013-01-07T23:23:53.000-08:00	2013-12-23T10:37:47.000-08:00	30194034	MathJax	847885	https://github.com/mathjax/MathJax
9635738	2013-01-02T20:45:27.000-08:00	2013-12-18T06:11:08.000-08:00	30187541	CocoaAsyncSocket	2826918	https://github.com/robbiehanson/CocoaAsyncSocket
9680464	2013-01-04T06:12:14.000-08:00	2013-12-19T11:55:54.000-08:00	30174220	Alice	6870309	https://github.com/AdaHeads/Alice
9681356	2013-01-04T06:38:02.000-08:00	2013-12-19T11:56:53.000-08:00	30172731	Alice	6870309	https://github.com/AdaHeads/Alice
9681700	2013-01-04T06:47:34.000-08:00	2013-12-19T11:56:31.000-08:00	30172137	Alice	6870309	https://github.com/AdaHeads/Alice
9705691	2013-01-05T05:34:00.000-08:00	2013-12-20T10:30:07.000-08:00	30171367	scaladin	2867365	https://github.com/henrikerola/scaladin
10043646	2013-01-16T17:55:07.000-08:00	2013-12-31T21:53:37.000-08:00	30167910	mocha	1451352	https://github.com/visionmedia/mocha
9916320	2013-01-12T15:24:51.000-08:00	2013-12-27T19:08:44.000-08:00	30167033	wca-documents	2971493	https://github.com/cubing/wca-documents
9779166	2013-01-08T11:07:28.000-08:00	2013-12-23T12:55:42.000-08:00	30160094	temporal	5773981	https://github.com/jejacks0n/temporal
9645976	2013-01-03T07:20:04.000-08:00	2013-12-18T08:40:08.000-08:00	30158404	track_history	1224549	https://github.com/seejohnrun/track_history
9953019	2013-01-14T10:55:13.000-08:00	2013-12-29T05:50:48.000-08:00	30135335	MagicalRecord	801795	https://github.com/magicalpanda/MagicalRecord
9912100	2013-01-12T08:34:32.000-08:00	2013-12-27T00:16:47.000-08:00	30123735	mo	6825257	https://github.com/dexteryy/mo
9615920	2013-01-02T05:42:05.000-08:00	2013-12-16T17:40:39.000-08:00	30110314	habari	1952998	https://github.com/habari/habari
10054714	2013-01-17T03:37:30.000-08:00	2013-12-31T12:56:25.000-08:00	30100735	imagepuzzle	7224570	https://github.com/justc0de/imagepuzzle
9717877	2013-01-06T08:50:14.000-08:00	2013-12-20T12:24:34.000-08:00	30080060	AsseticBundle	1902260	https://github.com/symfony/AsseticBundle
9713529	2013-01-05T22:26:59.000-08:00	2013-12-20T00:18:17.000-08:00	30073878	RiTaJS	4712154	https://github.com/dhowe/RiTaJS
9690464	2013-01-04T10:37:15.000-08:00	2013-12-18T12:15:50.000-08:00	30073115	felix	542504	https://github.com/felix-lang/felix
9623780	2013-01-02T10:53:02.000-08:00	2013-12-16T12:20:46.000-08:00	30072464	spindle	4187653	https://github.com/asb/spindle
10027246	2013-01-16T09:24:20.000-08:00	2013-12-30T05:59:23.000-08:00	30054903	WeasyPrint	2179572	https://github.com/Kozea/WeasyPrint
9721357	2013-01-06T14:45:58.000-08:00	2013-12-20T11:03:53.000-08:00	30053875	jruby	168370	https://github.com/jruby/jruby
9778351	2013-01-08T10:43:51.000-08:00	2013-12-22T05:22:01.000-08:00	30047890	znc-contrib	2592835	https://github.com/kylef/znc-contrib
9757217	2013-01-07T19:57:23.000-08:00	2013-12-21T12:36:30.000-08:00	30040747	metacpan-web	1630833	https://github.com/CPAN-API/metacpan-web
9649633	2013-01-03T09:21:32.000-08:00	2013-12-17T00:13:53.000-08:00	30034341	InlineStyle	556585	https://github.com/christiaan/InlineStyle
